Agmt Id,Cust Age,Cust Gender,Cust Cibil Score,Cust Employment Type,Cust Net Salary,Coborrower Flag,App Score Risk,Agmt Date,Seizure Date,Sold Date,Tenure,Cust Net IRR,Sold Date Month,Sold Date Year,Seizure Date Month,Seizure Date Year,Cust Branch,Cust Region,Cust State,Pincode Tier,RC Availability,Registration Flag,Asset Disc Flag,Asset Alloy Flag,Asset Variant,Asset Model,Asset Fuel Type,Asset Cost At Disbursal,Loan Amount,LTV,OS Balance At Liquidation,Asset Age Months At Seizure,Months Spent In Yard,Asset Bodycondition,Asset Tyrecondition,Asset Generalcondition,Asset Enginecondition,Asset Accident Flag,Traiffic Challan Amount,Target Sold Amount At Liquidation,Asset_Health_Index,Recovery_Efficiency_Index,LGD,LGD_pct,Depreciation_Pct,Asset_Age_Group,Residual_Value_Forecast,Residual_Loss,Residual_Risk_Score,Risk_Band,Profitability_Score,Recommended_LTV,Recommended_Tenure,Expected_Profit,PD,Expected_Loss,Interest_Income
ASSET_1,29,F,-1,NREGI,30000,N,LOW RISK,2023-12-27,2025-05-23,2025-06-23,29,24.69,6,2025,5,2025,HYDERABAD I,AP,AP,02 Megapolis (B),N,REG,0,0,TVS XL 100 HD ITS,MOPEDS,Petrol,81000,68712,0.8482962962962963,46934.0,17.1,1.033333333333333,G,G,G,G,No,0,37000.0,100.0,78.83410747006434,9934.0,21.165892529935658,54.32098765432099,1-2 Years,31061.24750824205,49938.75249175795,61.65278085402216,High,49.149825814373074,65,36,34221.59715148356,0.18,6777.135448516431,40998.732599999996
ASSET_2,24,M,-1,NREGI,60000,N,LOW RISK,2025-11-20,2026-05-31,2026-07-29,23,26.9,7,2026,5,2026,TIRUPATHI,AP,AP,06 Semi-Urban,N,REG,1,0,RADEON DRUM,RADEON,Petrol,106800,90750,0.8497191011235955,85177.0,6.4,1.966666666666667,G,G,G,G,No,0,56000.0,100.0,65.74544771475868,29177.0,34.25455228524132,47.565543071161045,0-1 Year,49192.50070778733,57607.49929221267,53.93960607885081,Low,61.601845394045064,85,60,45542.46252123362,0.03,1246.72497876638,46789.1875
ASSET_3,32,F,763,AGR,29500,N,LOW RISK,2024-05-16,2025-06-24,2025-08-25,23,27.23,8,2025,6,2025,VIJAYAWADA,AP,AP,06 Semi-Urban,N,REG,0,0,TVS XL 100 HD ITS,MOPEDS,Petrol,80650,73666,0.9134035957842528,51678.1,13.46666666666667,2.066666666666667,A,A,A,A,No,0,40500.0,70.0,78.36975430598261,11178.1,21.630245694017383,49.78301301921885,1-2 Years,35015.20566302391,45634.79433697609,56.58374995285318,Medium,61.875775741415254,75,48,35354.835736375244,0.08,3092.0635469580875,38446.89928333333
ASSET_4,25,F,-1,NREGI,40000,N,MEDIUM RISK,2025-10-24,2026-04-30,2026-06-26,23,24.38,6,2026,4,2026,KARIMNAGAR,AP,AP,05 Urban,N,REG,0,0,TVS XL 100 WINNER ITS,MOPEDS,Petrol,82500,70840,0.8586666666666667,65874.0,6.266666666666667,1.9,A,A,A,A,No,0,49000.0,70.0,74.38443088320126,16874.0,25.615569116798735,40.60606060606061,0-1 Year,38754.4055195315,43745.5944804685,53.024963006628475,Low,51.45862038548765,85,60,32139.783498919278,0.03,962.5678344140549,33102.35133333333
ASSET_5,59,F,653,SAL,45000,N,MEDIUM RISK,2024-09-20,2025-05-30,2025-07-24,23,33.23,7,2025,5,2025,KARIMNAGAR,AP,AP,06 Semi-Urban,N,REG,0,0,TVS XL 100 WINNER ITS,MOPEDS,Petrol,82500,72518,0.8790060606060606,66571.0,8.4,1.833333333333333,G,G,G,G,No,0,46000.0,100.0,69.09915729071217,20571.0,30.90084270928783,44.24242424242424,0-1 Year,40817.71865445707,41682.28134554293,50.52397738853688,Low,89.46685208946637,85,60,45236.31007630037,0.03,951.0084403662878,46187.31851666666
ASSET_6,21,F,738,SEP,35000,N,ULTRA LOW RISK,2024-12-24,2026-04-24,2026-06-30,35,14.75,6,2026,4,2026,KARIMNAGAR,AP,AP,06 Semi-Urban,N,REG,0,0,TVS IQUBE 2.2KWH,TVS,EV,120000,98393,0.8199416666666667,71087.0,16.2,2.233333333333333,G,G,G,G,No,0,64500.0,100.0,90.73388945939482,6587.0,9.266110540605174,46.25,1-2 Years,58673.94311537199,61326.05688462801,51.10504740385667,Low,12.03904606279206,85,60,41137.916835127835,0.03,1191.57170653884,42329.48854166667
ASSET_7,48,M,701,SEP,30000,N,ULTRA LOW RISK,2023-06-21,2025-03-26,2025-04-25,36,25.79,4,2025,3,2025,VIJAYAWADA,AP,AP,07 Rural,N,REG,1,0,NTORQ XT,NTORQ,Petrol,138500,120406,0.8693574007220216,85331.0,21.46666666666667,1.0,A,A,A,A,No,0,41000.0,70.0,48.04818881766298,44331.0,51.95181118233702,70.3971119133574,1-2 Years,41926.02388185614,96573.97611814384,69.72850261237824,Critical,50.371204288687174,50,24,65690.13055864966,0.35,27467.991641350345,93158.1222
ASSET_8,29,F,703,SAL,28000,N,LOW RISK,2024-01-05,2025-07-20,2025-08-21,29,25.89,8,2025,7,2025,VIJAYAWADA,AP,AP,07 Rural,N,REG,0,0,SCOOTY ZEST,ZEST,Petrol,100080,96798,0.9672062350119904,61087.0,18.73333333333333,1.066666666666667,G,G,G,G,No,0,50000.0,100.0,81.85047555126296,11087.0,18.149524448737047,50.03996802557954,1-2 Years,45268.899945295445,54811.100054704555,54.76728622572398,Low,57.03769923465719,85,60,59018.21564835888,0.03,1545.8730016411366,60564.08865000001
ASSET_9,26,F,720,SEP,35000,N,LOW RISK,2023-05-20,2025-09-16,2026-01-31,29,25.8,1,2026,9,2025,KARIMNAGAR,AP,AP,06 Semi-Urban,N,REG,0,0,JUPITER 110 DRUM,JUPITER,Petrol,105000,82055,0.7814761904761904,33252.99,28.33333333333333,4.566666666666666,A,P,A,A,No,0,37000.0,62.0,111.2681897176765,-3747.010000000002,-11.268189717676522,64.76190476190476,2-3 Years,34140.16275377966,70859.83724622034,67.48555928211462,Critical,51.34977756853797,50,24,34391.09946382289,0.35,16770.19303617712,51161.2925
ASSET_10,25,M,767,SEP,40000,N,MEDIUM RISK,2025-07-05,2025-11-30,2025-12-30,29,19.68,12,2025,11,2025,TIRUPATHI,AP,AP,05 Urban,N,REG,1,1,JUPITER 125 DISC,JUPITER,Petrol,118500,104280,0.88,109588.0,4.933333333333334,1.0,G,G,G,G,No,0,58000.0,100.0,52.925502792276525,51588.0,47.074497207723475,51.0548523206751,0-1 Year,62329.5694465333,56170.4305534667,47.40120721811536,Low,34.177072648954685,85,60,48337.055083396,0.03,1258.512916604001,49595.568
