iter	RMSE
0	16126.31473
1	15670.11274
2	15264.24112
3	14867.00541
4	14505.83639
5	14179.32023
6	13870.75739
7	13587.36299
8	13304.28123
9	13024.96366
10	12791.66968
11	12551.79283
12	12344.80153
13	12150.81886
14	11951.6049
15	11786.61777
16	11624.39312
17	11477.19267
18	11346.26899
19	11218.423
20	11099.40784
21	10985.78105
22	10880.70981
23	10769.5876
24	10667.72935
25	10583.52195
26	10484.35158
27	10393.84982
28	10327.14733
29	10259.63819
30	10194.58528
31	10133.0409
32	10070.39194
33	10008.53869
34	9954.235536
35	9907.022476
36	9862.455671
37	9810.365806
38	9766.616283
39	9716.678346
40	9676.844944
41	9640.147295
42	9605.179237
43	9568.98975
44	9538.677133
45	9500.954251
46	9469.767823
47	9439.043202
48	9411.701164
49	9382.500409
50	9355.216448
51	9328.312572
52	9305.556194
53	9284.255134
54	9261.645314
55	9243.276561
56	9223.024596
57	9200.159384
58	9178.871185
59	9162.892768
60	9148.163271
61	9130.538371
62	9115.948147
63	9096.150968
64	9085.012766
65	9072.863528
66	9055.39337
67	9046.003564
68	9030.705367
69	9018.914724
70	9007.307667
71	8990.455681
72	8977.345026
73	8962.7641
74	8951.186452
75	8934.964042
76	8927.321801
77	8916.79046
78	8911.329227
79	8899.040477
80	8886.331763
81	8872.945487
82	8863.792989
83	8849.95592
84	8840.465062
85	8834.885425
86	8820.931305
87	8813.947581
88	8803.318475
89	8795.69289
90	8781.624063
91	8772.509062
92	8766.969733
93	8757.171614
94	8746.325145
95	8736.342027
96	8726.432478
97	8715.286103
98	8706.897957
99	8703.14546
100	8695.082372
101	8691.804984
102	8681.607948
103	8673.233504
104	8665.616674
105	8654.943014
106	8649.341517
107	8644.677078
108	8636.405721
109	8630.02789
110	8624.425045
111	8618.075024
112	8608.613962
113	8601.992298
114	8596.974428
115	8587.580729
116	8582.326778
117	8570.268476
118	8563.249182
119	8557.607931
120	8548.969656
121	8543.050735
122	8532.671302
123	8527.100969
124	8520.305618
125	8516.287093
126	8506.029044
127	8500.59466
128	8496.01563
129	8491.071529
130	8484.275247
131	8474.968095
132	8467.026198
133	8459.210441
134	8458.804658
135	8451.965465
136	8444.084094
137	8440.487755
138	8435.65354
139	8428.306358
140	8418.273082
141	8413.767443
142	8407.417662
143	8399.743884
144	8395.630799
145	8389.934986
146	8385.241985
147	8380.847335
148	8377.292883
149	8374.816493
150	8368.789648
151	8366.419582
152	8359.319485
153	8355.982658
154	8348.253744
155	8339.342577
156	8336.861183
