iter	Passed	Remaining
0	66	66923
1	76	37955
2	85	28534
3	94	23522
4	103	20561
5	112	18601
6	121	17165
7	130	16198
8	138	15290
9	147	14645
10	156	14064
11	165	13652
12	175	13347
13	184	13007
14	192	12614
15	201	12365
16	209	12136
17	219	11971
18	229	11859
19	237	11637
20	244	11414
21	253	11283
22	263	11213
23	272	11076
24	280	10953
25	290	10893
26	299	10785
27	309	10749
28	317	10639
29	326	10541
30	334	10456
31	343	10382
32	351	10297
33	359	10217
34	369	10175
35	378	10142
36	387	10077
37	396	10038
38	406	10007
39	413	9926
40	422	9889
41	431	9832
42	439	9789
43	449	9759
44	457	9710
45	467	9702
46	476	9661
47	486	9655
48	496	9637
49	507	9644
50	516	9616
51	524	9560
52	533	9529
53	543	9513
54	552	9494
55	560	9452
56	571	9453
57	578	9393
58	589	9401
59	600	9406
60	610	9399
61	620	9393
62	631	9394
63	640	9370
64	651	9372
65	661	9356
66	670	9337
67	680	9332
68	690	9322
69	699	9296
70	709	9278
71	717	9246
72	728	9247
73	737	9232
74	746	9208
75	755	9187
76	765	9172
77	772	9130
78	781	9108
79	789	9079
80	798	9055
81	807	9044
82	816	9025
83	826	9011
84	834	8984
85	843	8968
86	851	8937
87	860	8920
88	869	8897
89	877	8877
90	888	8871
91	898	8867
92	907	8847
93	916	8837
94	925	8818
95	935	8805
96	946	8807
97	955	8796
98	966	8795
99	975	8782
100	984	8759
101	988	8706
102	998	8698
103	1007	8678
104	1017	8673
105	1025	8649
106	1035	8644
107	1045	8633
108	1054	8621
109	1064	8615
110	1074	8606
111	1084	8600
112	1094	8588
113	1102	8565
114	1110	8546
115	1121	8543
116	1129	8526
117	1140	8522
118	1150	8514
119	1157	8486
120	1166	8475
121	1175	8461
122	1185	8451
123	1192	8427
124	1202	8414
125	1210	8398
126	1220	8391
127	1230	8382
128	1239	8366
129	1248	8354
130	1256	8333
131	1265	8319
132	1274	8305
133	1282	8290
134	1285	8237
135	1293	8219
136	1302	8207
137	1311	8192
138	1320	8177
139	1329	8168
140	1339	8162
141	1348	8148
142	1355	8120
143	1364	8111
144	1372	8092
145	1381	8081
146	1390	8069
147	1399	8059
148	1409	8048
149	1418	8038
150	1427	8028
151	1435	8008
152	1443	7991
153	1451	7972
154	1461	7965
155	1470	7953
156	1478	7940
157	1487	7924
158	1495	7911
159	1505	7902
160	1515	7897
161	1523	7881
162	1533	7875
163	1540	7854
164	1548	7837
165	1557	7822
166	1566	7814
167	1578	7817
168	1601	7874
169	1613	7876
170	1623	7872
171	1632	7857
172	1642	7851
173	1653	7847
174	1663	7840
175	1673	7835
176	1682	7824
177	1690	7807
178	1701	7804
179	1711	7798
180	1722	7792
181	1732	7784
182	1746	7796
183	1759	7804
184	1772	7809
185	1788	7825
186	1797	7813
187	1806	7801
188	1814	7787
189	1825	7783
190	1836	7777
191	1845	7765
192	1853	7749
193	1860	7729
194	1871	7724
195	1880	7713
196	1890	7704
197	1899	7693
198	1910	7688
199	1919	7679
200	1929	7671
201	1937	7656
202	1947	7647
203	1956	7632
204	1965	7622
205	1973	7608
206	1982	7593
